source,periodType,date,instrument,period,price,ws
OCEAN,Months,2025-06-24,TD22,2026-05-01,25.9259,7.0
OCEAN,Months,2025-06-24,TD22,2026-06-01,25.9259,7.0
OCEAN,Months,2025-06-24,TD25,2025-09-01,25.46,118.24
OCEAN,Months,2025-06-24,TD25,2025-10-01,26.86,124.74
OCEAN,Months,2025-06-24,TD25,2025-11-01,26.86,124.74
OCEAN,Months,2025-06-24,TD25,2025-12-01,26.86,124.74
OCEAN,Months,2025-06-24,TD25,2026-01-01,23.65,109.85
OCEAN,Months,2025-06-24,TD25,2026-02-01,23.65,109.85
OCEAN,Months,2025-06-24,TD25,2026-03-01,23.65,109.85
OCEAN,Months,2025-06-24,TD25,2026-04-01,22.4,104.04
OCEAN,Months,2025-06-24,TD25,2026-05-01,22.4,104.04
OCEAN,Months,2025-06-24,TD25,2026-06-01,22.4,104.04
OCEAN,Months,2025-06-24,TD3C,2026-07-01,11.75,54.45
OCEAN,Months,2025-06-24,TD3C,2026-08-01,11.75,54.45
OCEAN,Months,2025-06-24,TD3C,2026-09-01,11.75,54.45
OCEAN,Months,2025-06-24,TD3C,2026-10-01,11.75,54.45
OCEAN,Months,2025-06-24,TD3C,2026-11-01,11.75,54.45
OCEAN,Months,2025-06-24,TD3C,2026-12-01,11.75,54.45
OCEAN,Months,2025-06-24,TD3C,2027-01-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-02-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-03-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-04-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-05-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-06-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-07-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-08-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-09-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-10-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-11-01,11.0,50.97
OCEAN,Months,2025-06-24,TD3C,2027-12-01,11.0,50.97
OCEAN,Months,2025-06-24,TD20,2026-07-01,11.7,68.9
OCEAN,Months,2025-06-24,TD20,2026-08-01,11.7,68.9
OCEAN,Months,2025-06-24,TD20,2026-09-01,11.7,68.9
OCEAN,Months,2025-06-24,TD20,2026-10-01,11.7,68.9
OCEAN,Months,2025-06-24,TD20,2026-11-01,11.7,68.9
OCEAN,Months,2025-06-24,TD20,2026-12-01,11.7,68.9
OCEAN,Months,2025-06-24,TD20,2027-01-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-02-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-03-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-04-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-05-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-06-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-07-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-08-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-09-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-10-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-11-01,11.0,64.78
OCEAN,Months,2025-06-24,TD20,2027-12-01,11.0,64.78
OCEAN,Months,2025-06-24,TD22,2026-07-01,26.2963,7.1
OCEAN,Months,2025-06-24,TD22,2026-08-01,26.2963,7.1
OCEAN,Months,2025-06-24,TD22,2026-09-01,26.2963,7.1
OCEAN,Months,2025-06-24,TD22,2026-10-01,26.2963,7.1
OCEAN,Months,2025-06-24,TD22,2026-11-01,26.2963,7.1
OCEAN,Months,2025-06-24,TD22,2026-12-01,26.2963,7.1
OCEAN,Months,2025-06-24,TD22,2027-01-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-02-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-03-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-04-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-05-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-06-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-07-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-08-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-09-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-10-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-11-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD22,2027-12-01,24.4444,6.6
OCEAN,Months,2025-06-24,TD25,2026-07-01,22.4,104.04
OCEAN,Months,2025-06-24,TD25,2026-08-01,22.4,104.04
OCEAN,Months,2025-06-24,TD25,2026-09-01,22.4,104.04
OCEAN,Months,2025-06-24,TD25,2026-10-01,22.4,104.04
OCEAN,Months,2025-06-24,TD25,2026-11-01,22.4,104.04
OCEAN,Months,2025-06-24,TD25,2026-12-01,22.4,104.04
OCEAN,Months,2025-06-24,TD25,2027-01-01,21.9,101.72
OCEAN,Months,2025-06-24,TD25,2027-02-01,21.9,101.72
OCEAN,Months,2025-06-24,TD25,2027-03-01,21.9,101.72
OCEAN,Months,2025-06-24,TD25,2027-04-01,21.9,101.72
OCEAN,Months,2025-06-24,TD25,2027-05-01,21.9,101.72
OCEAN,Months,2025-06-24,TD25,2027-06-01,21.9,101.72
